Country,Store,Provider,Bandwidth
Colombia,3267,BW Claro,0
Colombia,3268,BW Claro,0
Colombia,3001,BW C&W,0
Colombia,3002,BW C&W,0
Colombia,3003,BW C&W,0
Colombia,3004,BW C&W,0
Colombia,3005,BW C&W,0
Colombia,3006,BW C&W,0
Colombia,3007,BW C&W,0
Colombia,3008,BW C&W,0
Colombia,3009,BW C&W,0
Colombia,3010,BW C&W,0
Colombia,3011,BW C&W,0
Colombia,3012,BW C&W,0
Colombia,3013,BW C&W,0
Colombia,3014,BW C&W,0
Colombia,3015,BW C&W,0
Colombia,3016,BW C&W,0
Colombia,3017,BW C&W,0
Colombia,3018,BW C&W,0
Colombia,3019,BW C&W,0
Colombia,3020,BW C&W,0
Colombia,3021,BW C&W,0
Colombia,3022,BW C&W,0
Colombia,3023,BW C&W,0
Colombia,3024,BW C&W,0
Colombia,3025,BW C&W,0
Colombia,3026,BW C&W,0
Colombia,3027,BW C&W,0
Colombia,3028,BW C&W,0
Colombia,3029,BW C&W,0
Colombia,3030,BW C&W,0
Colombia,3031,BW C&W,0
Colombia,3032,BW C&W,0
Colombia,3033,BW C&W,0
Colombia,3034,BW C&W,0
Colombia,3035,BW C&W,0
Colombia,3036,BW C&W,0
Colombia,3037,BW C&W,0
Colombia,3038,BW C&W,0
Colombia,3039,BW C&W,0
Colombia,3040,BW C&W,0
Colombia,3041,BW C&W,0
Colombia,3042,BW C&W,0
Colombia,3043,BW C&W,0
Colombia,3044,BW C&W,0
Colombia,3045,BW C&W,0
Colombia,3046,BW C&W,0
Colombia,3047,BW C&W,0
Colombia,3048,BW C&W,0
Colombia,3049,BW C&W,0
Colombia,3050,BW C&W,0
Colombia,3051,BW C&W,0
Colombia,3052,BW C&W,0
Colombia,3053,BW C&W,0
Colombia,3054,BW C&W,0
Colombia,3055,BW C&W,0
Colombia,3056,BW C&W,0
Colombia,3057,BW C&W,0
Colombia,3058,BW C&W,0
Colombia,3059,BW C&W,0
Colombia,3060,BW C&W,0
Colombia,3061,BW C&W,0
Colombia,3062,BW C&W,0
Colombia,3063,BW C&W,0
Colombia,3064,BW C&W,0
Colombia,3065,BW C&W,0
Colombia,3066,BW C&W,0
Colombia,3067,BW C&W,0
Colombia,3068,BW C&W,0
Colombia,3069,BW C&W,0
Colombia,3070,BW C&W,0
Colombia,3071,BW C&W,0
Colombia,3072,BW C&W,0
Colombia,3073,BW C&W,0
Colombia,3074,BW C&W,0
Colombia,3075,BW C&W,0
Colombia,3076,BW C&W,0
Colombia,3077,BW C&W,0
Colombia,3078,BW C&W,0
Colombia,3079,BW C&W,0
Colombia,3080,BW C&W,0
Colombia,3081,BW C&W,0
Colombia,3082,BW C&W,0
Colombia,3083,BW C&W,0
Colombia,3084,BW C&W,0
Colombia,3085,BW C&W,0
Colombia,3086,BW C&W,0
Colombia,3087,BW C&W,0
Colombia,3088,BW C&W,0
Colombia,3089,BW C&W,0
Colombia,3090,BW C&W,0
Colombia,3091,BW C&W,0
Colombia,3092,BW C&W,0
Colombia,3093,BW C&W,0
Colombia,3094,BW C&W,0
Colombia,3095,BW C&W,0
Colombia,3096,BW C&W,0
Colombia,3097,BW C&W,0
Colombia,3098,BW C&W,0
Colombia,3099,BW C&W,0
Colombia,3100,BW C&W,0
Colombia,3101,BW C&W,0
Colombia,3102,BW C&W,0
Colombia,3103,BW C&W,0
Colombia,3104,BW C&W,0
Colombia,3105,BW C&W,0
Colombia,3106,BW C&W,0
Colombia,3107,BW C&W,0
Colombia,3108,BW C&W,0
Colombia,3109,BW C&W,0
Colombia,3110,BW C&W,0
Colombia,3111,BW C&W,0
Colombia,3112,BW C&W,0
Colombia,3114,BW C&W,0
Colombia,3113,BW C&W,0
Colombia,3115,BW C&W,0
Colombia,3116,BW C&W,0
Colombia,3117,BW C&W,0
Colombia,3118,BW C&W,0
Colombia,3119,BW C&W,0
Colombia,3120,BW C&W,0
Colombia,3121,BW C&W,0
Colombia,3122,BW C&W,0
Colombia,3123,BW C&W,0
Colombia,3124,BW C&W,0
